schema_version,seed,generated_requests,admitted_requests,blocked_requests,acceptance_ratio_pct,continuity_resolved_requests,continuity_satisfied_requests,continuity_failed_requests,active_excluded_requests,continuity_satisfaction_ratio_pct,migration_volume_total_mb,migration_mb_per_admitted_sfc,downtime_ms_per_admitted_sfc,migration_count,route_update_count,handoff_count,mean_e2e_delay_ms,p95_e2e_delay_ms,mean_decision_runtime_ms,p95_decision_runtime_ms,mean_candidate_runtime_ms,mean_policy_runtime_ms,mean_cpu_utilization_pct,mean_bandwidth_utilization_pct,mean_reward,mean_training_loss,decision_count,complete_fallback_count,candidate_paths_examined,algorithm,config_digest,mobility_mode,network_nodes,network_physical_links,arrival_rate_req_s,maximum_speed_m_s,experiment,x_name,x_value,checkpoint_sha256
2,47,53,42,11,79.24528301886792,22,20,2,20,90.9090909090909,630.1187483834165,15.002827342462297,9.523809523809524,5,62,67,53.899360674455565,83.27868979513825,17.918776773049647,11.406748899999965,17.78014247754137,0.0021211016548463,77.59804001061364,16.94618997065476,0.1574670586156649,,423,17,12996,im,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,mobility,maximum_speed_m_s,30.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,42,11,79.24528301886792,22,21,1,20,95.45454545454544,924.8625864528894,22.020537772687845,20.952380952380956,11,121,71,55.77527107161083,82.22397732317191,22.12368639719626,12.736890799999992,20.36244610747664,1.5824348434579438,78.61457193343578,20.53187205784008,0.1648435275297723,,428,17,13876,stg_ddqn,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,mobility,maximum_speed_m_s,30.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,39,14,73.58490566037736,21,19,2,18,90.47619047619048,3734.769424641132,95.76331858054183,63.58974358974359,31,63,88,56.04598442544512,85.81360917489856,27.6966497002584,15.631733899999968,27.578730886304907,0.0043690930232558,78.5662532743978,23.726460637166884,0.0629169246406261,,387,21,15319,dlapm,5a61717570ff8a98,synthetic,12,19,0.65,40.0,mobility,maximum_speed_m_s,40.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,43,10,81.13207547169812,23,20,3,20,86.95652173913044,1525.580315721155,35.47861199351524,22.32558139534884,12,88,105,53.4315421666408,76.22749808652672,24.68030533928572,7.67886925,24.54452555580357,0.0022476941964285,79.407217388883,19.096891252907245,0.1412165297099105,,448,19,14208,im,5a61717570ff8a98,synthetic,12,19,0.65,40.0,mobility,maximum_speed_m_s,40.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,43,10,81.13207547169812,24,22,2,19,91.66666666666669,1153.065296235525,26.815472005477325,18.6046511627907,10,130,100,55.78131725763437,85.56787293121548,23.55690359453303,11.517147999999974,21.70000605694761,1.6968406788154895,78.43403048242324,21.251274204968336,0.1428233985264002,,439,18,14294,stg_ddqn,5a61717570ff8a98,synthetic,12,19,0.65,40.0,mobility,maximum_speed_m_s,40.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,39,14,73.58490566037736,21,20,1,18,95.23809523809524,3017.695411176024,77.37680541476985,59.48717948717949,29,82,113,54.8528388228447,85.09085661728612,18.82436463895487,19.655215,18.693162403800475,0.0045717909738717,76.93108354731186,20.02122754811162,0.0956304646368229,,421,25,15089,dlapm,7e3c8f2846dd0b33,synthetic,12,19,0.65,50.0,mobility,maximum_speed_m_s,50.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,40,13,75.47169811320755,21,19,2,19,90.47619047619048,868.840997428422,21.721024935710552,12.0,6,106,118,55.78698882246667,82.82931153939745,17.923710990950227,14.800800049999992,17.807477590497736,0.0020320837104072,76.50973850502231,20.60985432669571,0.1321048073613293,,442,22,15034,im,7e3c8f2846dd0b33,synthetic,12,19,0.65,50.0,mobility,maximum_speed_m_s,50.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,44,9,83.01886792452831,25,21,4,19,84.0,586.4040228084909,13.327364154738431,10.909090909090908,6,178,122,55.42655824664072,83.49902545058299,19.7653600186722,10.792866149999998,18.30041138796681,1.3324195394190872,80.3633846716633,22.01288850487995,0.1442720063424878,,482,28,15546,stg_ddqn,7e3c8f2846dd0b33,synthetic,12,19,0.65,50.0,mobility,maximum_speed_m_s,50.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,20,20,0,100.0,6,6,0,14,100.0,415.45190015331457,20.77259500766573,16.0,4,22,23,48.52087342258429,72.57909517833076,4.724300889570553,21.0411205,4.586993963190184,0.0056387055214723,31.9835161652521,4.4603248401572495,0.2165549241901094,,163,0,3175,dlapm,6992c7cc97dd972b,synthetic,12,19,0.25,30.0,traffic,arrival_rate_req_s,0.25,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,20,20,0,100.0,6,6,0,14,100.0,176.51455822434465,8.825727911217232,4.0,1,21,23,48.69083488227441,75.5175442950061,4.976681456790123,20.51650839999998,4.850316308641975,0.0021425679012345,31.768641499002747,5.249101021975597,0.2236571479731659,,162,0,3155,im,6992c7cc97dd972b,synthetic,12,19,0.25,30.0,traffic,arrival_rate_req_s,0.25,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
