experiment,x_name,x_value,algorithm,metric,n,mean,ci95_half_width,ci95_low,ci95_high
mobility,maximum_speed_m_s,40.0,im,downtime_ms_per_admitted_sfc,3,15.782588060502261,16.969705961714567,-1.1871179012123054,32.75229402221683
mobility,maximum_speed_m_s,40.0,im,mean_e2e_delay_ms,3,50.07040228019586,7.231082194571235,42.83932008562462,57.30148447476709
mobility,maximum_speed_m_s,40.0,im,p95_e2e_delay_ms,3,72.70562233707999,8.4770701590808,64.22855217799919,81.18269249616078
mobility,maximum_speed_m_s,40.0,im,mean_decision_runtime_ms,3,18.12576554346023,17.345797027228848,0.7799685162313814,35.47156257068907
mobility,maximum_speed_m_s,40.0,im,p95_decision_runtime_ms,3,7.976252649999998,7.089859597573403,0.8863930524265955,15.0661122475734
mobility,maximum_speed_m_s,40.0,im,mean_cpu_utilization_pct,3,79.18351231400926,2.362250134705256,76.82126217930401,81.54576244871451
mobility,maximum_speed_m_s,40.0,im,mean_bandwidth_utilization_pct,3,20.956696446274243,4.034826295202255,16.92187015107199,24.991522741476498
mobility,maximum_speed_m_s,40.0,stg_ddqn,acceptance_ratio_pct,3,81.54089952706533,1.9727094366343927,79.56819009043095,83.51360896369972
mobility,maximum_speed_m_s,40.0,stg_ddqn,continuity_satisfaction_ratio_pct,3,93.51851851851852,6.085565377526276,87.43295314099224,99.6040838960448
mobility,maximum_speed_m_s,40.0,stg_ddqn,migration_mb_per_admitted_sfc,3,22.84401997205769,11.878274491270492,10.965745480787199,34.72229446332818
mobility,maximum_speed_m_s,40.0,stg_ddqn,downtime_ms_per_admitted_sfc,3,18.116444004618174,6.428853587966742,11.687590416651432,24.545297592584916
mobility,maximum_speed_m_s,40.0,stg_ddqn,mean_e2e_delay_ms,3,51.18934227567595,9.878954231068613,41.310388044607336,61.06829650674456
mobility,maximum_speed_m_s,40.0,stg_ddqn,p95_e2e_delay_ms,3,75.58737594736068,21.55299758831416,54.03437835904653,97.14037353567484
mobility,maximum_speed_m_s,40.0,stg_ddqn,mean_decision_runtime_ms,3,19.878364692276502,12.151062123371569,7.727302568904934,32.02942681564807
mobility,maximum_speed_m_s,40.0,stg_ddqn,p95_decision_runtime_ms,3,9.849379166666656,3.9667196159495712,5.882659550717085,13.816098782616228
mobility,maximum_speed_m_s,40.0,stg_ddqn,mean_cpu_utilization_pct,3,78.46903727737141,3.4269867091497725,75.04205056822164,81.89602398652119
mobility,maximum_speed_m_s,40.0,stg_ddqn,mean_bandwidth_utilization_pct,3,22.050317251279008,1.9631893431889178,20.08712790809009,24.013506594467927
mobility,maximum_speed_m_s,50.0,dlapm,acceptance_ratio_pct,3,77.88583364722803,13.897339904605387,63.98849374262264,91.78317355183341
mobility,maximum_speed_m_s,50.0,dlapm,continuity_satisfaction_ratio_pct,3,93.5079365079365,9.13254135287881,84.3753951550577,102.64047786081531
mobility,maximum_speed_m_s,50.0,dlapm,migration_mb_per_admitted_sfc,3,70.92324924073141,45.536606335437384,25.386642905294025,116.45985557616879
mobility,maximum_speed_m_s,50.0,dlapm,downtime_ms_per_admitted_sfc,3,50.182595182595186,37.579433291798516,12.60316189079667,87.7620284743937
mobility,maximum_speed_m_s,50.0,dlapm,mean_e2e_delay_ms,3,50.02560386759757,10.403532275571019,39.62207159202655,60.429136143168584
mobility,maximum_speed_m_s,50.0,dlapm,p95_e2e_delay_ms,3,75.26251022729832,22.16441615981642,53.0980940674819,97.42692638711475
mobility,maximum_speed_m_s,50.0,dlapm,mean_decision_runtime_ms,3,19.845628624525354,7.868353086361094,11.97727553816426,27.713981710886447
mobility,maximum_speed_m_s,50.0,dlapm,p95_decision_runtime_ms,3,17.024699883333323,17.785883452199304,-0.7611835688659809,34.81058333553263
mobility,maximum_speed_m_s,50.0,dlapm,mean_cpu_utilization_pct,3,78.69890319261737,4.978306666656815,73.72059652596054,83.67720985927419
mobility,maximum_speed_m_s,50.0,dlapm,mean_bandwidth_utilization_pct,3,22.740723361123003,5.896360129490547,16.844363231632457,28.63708349061355
mobility,maximum_speed_m_s,50.0,im,acceptance_ratio_pct,3,81.98320568282558,15.303554229780946,66.67965145304464,97.28675991260653
mobility,maximum_speed_m_s,50.0,im,continuity_satisfaction_ratio_pct,3,87.99283154121865,16.081492361794428,71.91133917942422,104.07432390301308
mobility,maximum_speed_m_s,50.0,im,migration_mb_per_admitted_sfc,3,12.24430514121124,25.462846179479588,-13.218541038268347,37.707151320690826
mobility,maximum_speed_m_s,50.0,im,downtime_ms_per_admitted_sfc,3,7.7555555555555555,13.434093163761995,-5.678537608206439,21.18964871931755
mobility,maximum_speed_m_s,50.0,im,mean_e2e_delay_ms,3,50.643144088220254,11.073175277473155,39.5699688107471,61.71631936569341
mobility,maximum_speed_m_s,50.0,im,p95_e2e_delay_ms,3,74.31386576976978,18.693307010018664,55.62055875975111,93.00717277978845
mobility,maximum_speed_m_s,50.0,im,mean_decision_runtime_ms,3,15.547343718887092,10.913194116058584,4.634149602828508,26.460537834945676
mobility,maximum_speed_m_s,50.0,im,p95_decision_runtime_ms,3,11.579269849999998,13.249129898413024,-1.6698600484130264,24.82839974841302
mobility,maximum_speed_m_s,50.0,im,mean_cpu_utilization_pct,3,77.81496524479267,3.0141332711681614,74.80083197362451,80.82909851596084
